Time,Lap,SectorName,angular velosity,Distance,Corr Dist,Corr Dist (Unstretched),Corr Lap Dist,Corr Speed,Calc Outing Time,Calc Lap Time,Damper Vel FL,Damper Vel FR,Damper Vel RL,Damper Vel RR,glat,glong,Oversteer,steered angle,is1st,is2nd,is3rd,is4th,is5th,is6th,is2ndWOT,is3rdWOT,isWOT,abs glong,abs glat,abs Steerangle,abs ROTY ,understeer,oversteer,lane deviation,steering reversal rate per lap,steering reversal rate per sector,LAP_BEACON,G_LAT,ROTY,STEERANGLE,SPEED,THROTTLE,BRAKE,GEAR,G_LON,CLUTCH,RPMS,TC,ABS,SUS_TRAVEL_LF,SUS_TRAVEL_RF,SUS_TRAVEL_LR,SUS_TRAVEL_RR,BRAKE_TEMP_LF,BRAKE_TEMP_RF,BRAKE_TEMP_LR,BRAKE_TEMP_RR,TYRE_PRESS_LF,TYRE_PRESS_RF,TYRE_PRESS_LR,TYRE_PRESS_RR,TYRE_TAIR_LF,TYRE_TAIR_RF,TYRE_TAIR_LR,TYRE_TAIR_RR,WHEEL_SPEED_LF,WHEEL_SPEED_RF,WHEEL_SPEED_LR,WHEEL_SPEED_RR,BUMPSTOPUP_RIDE_LF,BUMPSTOPUP_RIDE_RF,BUMPSTOPUP_RIDE_LR,BUMPSTOPUP_RIDE_RR,BUMPSTOPDN_RIDE_LF,BUMPSTOPDN_RIDE_RF,BUMPSTOPDN_RIDE_LR,BUMPSTOPDN_RIDE_RR,BUMPSTOP_FORCE_LF,BUMPSTOP_FORCE_RF,BUMPSTOP_FORCE_LR,BUMPSTOP_FORCE_RR,EN_ET,EN_TL,EN_TD,EN_TB
24.3,Lap 1,Str 0-1 (End),0.0,103.66666666666667,103.66666666666667,103.66666666666667,1.0,49.4,24.3,0.075,-1.6666666666666667,1.7,0.03333333333333333,-1.433333333333333,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02,2.9133333333333336,0.7733333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.7799999999999999,3.0,49.4,100.0,0.0,1.0,0.0,0.0,3212.6666666666665,0.0,0.0,8.0,8.333333333333334,10.0,9.0,27.0,27.0,27.0,27.0,26.0,26.0,25.0,25.0,70.0,70.0,70.0,70.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
24.369999999999997,Lap 1,Str 0-1 (End),-25.0,104.5,104.5,104.5,2.0,49.4,24.369999999999997,0.14500000000000002,1.9249999999999998,-0.3,-0.625,-1.125,0.015000000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.015000000000000001,1.96,0.635,0.0,0.0,0.0,0.0,0.0,0.0,0.015000000000000001,0.625,1.75,49.4,100.0,0.0,1.0,0.0,0.0,3212.25,0.0,0.0,8.0,9.0,10.0,9.0,27.0,27.0,27.0,27.0,26.0,26.0,25.0,25.0,70.0,70.0,70.0,70.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
24.439999999999998,Lap 1,Str 0-1 (End),0.0,105.66666666666667,105.66666666666667,105.66666666666667,3.0,49.4,24.439999999999998,0.215,3.1999999999999997,-2.8666666666666667,-2.866666666666667,1.7666666666666666,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,1.1433333333333333,0.4566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.47333333333333333,1.0,49.4,100.0,0.0,1.0,0.0,0.0,3212.3333333333335,0.0,0.0,8.0,8.0,10.0,9.0,27.0,27.0,27.0,27.0,26.0,26.0,25.0,25.0,70.0,70.0,70.0,70.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
24.509999999999998,Lap 1,Str 0-1 (End),0.0,106.5,106.5,106.5,4.0,49.4,24.509999999999998,0.285,0.4250000000000001,-5.25,-2.8,2.375,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,1.1175,0.35250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.3475,1.0,49.4,100.0,0.0,1.0,0.0,0.0,3213.5,0.0,0.0,8.0,8.0,10.0,9.0,27.0,27.0,27.0,27.0,26.0,26.0,25.0,25.0,70.0,70.0,70.0,70.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
24.590000000000003,Lap 1,Str 0-1 (End),12.5,107.5,107.5,107.5,5.0,49.4,24.590000000000003,0.365,-1.9749999999999994,-5.6,-0.575,1.075,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,1.565,0.37249999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.37,1.75,49.4,100.0,0.0,1.0,0.0,0.0,3210.75,0.0,0.0,8.0,7.5,10.0,9.0,27.0,27.0,27.0,27.0,26.0,26.0,25.0,25.0,70.0,70.0,70.0,70.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
24.659999999999997,Lap 1,Str 0-1 (End),0.0,108.66666666666667,108.66666666666667,108.66666666666667,6.0,49.4,24.659999999999997,0.435,10.633333333333333,-0.7333333333333334,-3.733333333333333,8.033333333333333,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,1.84,0.45999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.47000000000000003,2.0,49.4,100.0,0.0,1.0,0.0,0.0,3211.0,0.0,0.0,8.0,7.333333333333333,9.666666666666666,9.333333333333334,27.0,27.0,27.0,27.0,26.0,26.0,25.0,25.0,70.0,70.0,70.0,70.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
24.73,Lap 1,Str 0-1 (End),-12.5,109.5,109.5,109.5,7.0,49.4,24.73,0.505,1.225,-12.6,-15.525,7.725,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,1.7125,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.505,1.75,49.4,100.0,0.0,1.0,0.0,0.0,3215.0,0.0,0.0,8.75,7.0,8.75,10.5,27.0,27.0,27.0,27.0,26.0,26.0,25.0,25.0,70.0,70.0,70.0,70.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.25,2.0
24.810000000000002,Lap 1,Str 0-1 (End),-12.5,110.5,110.5,110.5,8.0,49.4,24.810000000000002,0.585,4.675,-4.175,-7.200000000000001,2.8500000000000005,-0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0025,0.885,0.305,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025,0.2975,0.75,49.4,100.0,0.0,1.0,0.0,0.0,3212.75,0.0,0.0,9.0,6.0,7.25,10.25,27.0,27.0,27.0,27.0,26.0,26.0,25.0,25.0,70.0,70.0,70.0,70.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
24.879999999999995,Lap 1,Str 0-1 (End),0.0,111.66666666666667,111.66666666666667,111.66666666666667,9.0,49.4,24.879999999999995,0.655,-1.4666666666666668,0.6666666666666666,29.96666666666667,6.5,-0.006666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.006666666666666667,0.16666666666666666,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033333333333333335,0.12666666666666668,0.0,49.4,100.0,0.0,1.0,0.0,0.0,3215.6666666666665,0.0,0.0,9.0,6.0,8.333333333333334,11.0,27.0,27.0,27.0,27.0,26.0,26.0,25.0,25.0,70.0,70.0,70.0,70.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
24.95,Lap 1,Str 0-1 (End),0.0,112.5,112.5,112.5,10.0,49.4,24.95,0.725,-5.975,3.925,5.25,-19.174999999999997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1375,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0925,0.0,49.4,100.0,0.0,1.0,0.0,0.0,3214.25,0.0,0.0,8.5,6.0,10.0,10.5,27.0,27.0,27.0,27.0,26.0,26.0,25.0,25.0,70.0,70.0,70.0,70.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.25,0.0,2.0
